price,min_price,max_price,brand,model,registration_year,mileage_km,condition,bike_type,engine_capacity,origin,age,brand_grouped,model_grouped,segment,log_price,brand_meanprice,mileage_bin,age_bin,price_bin,price_hat,resid,resid_median,resid_std,resid_z,flag_resid,p10,p90,flag_minmax,flag_p10p90,flag_mileage_low,flag_mileage_high,flag_br,if_score,flag_if,kmeans_cluster,flag_kmeans,lof_score,flag_lof,flag_unsup,score_resid,score_minmax,score_p10p90,score_unsup,score_model_based,score_business_based,final_score,is_outlier
9200000.0,10390000.0,12200000.0,Honda,Wave,2018.0,25,Đã sử dụng,Xe số,100 - 175 cc,Nước khác,7.0,Honda,Wave,Honda_Wave,16.034714150714915,16.775024719703897,0-5k km,5-8 năm,0 - 10tr,10414039.280553985,-1214039.2805539854,417761.5356076211,6638665.377960899,-0.2458025406098752,0,3800000.0,19800000.00000001,1,0,1,0,1,0.37874387856485514,0,0,0,1.137426062297273,0,0,0,1,0,0,20.0,100,120.0,True
18000000.0,78550000.0,92210000.0,Honda,SH,2025.0,100000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,0.0,Honda,SH,Honda_SH,16.705882371415992,16.775024719703897,80k-120k km,0-2 năm,10 - 20tr,24300649.23888501,-6300649.2388850115,1025061.3341819346,5153335794.534774,-0.001421547297739849,0,40200000.0,157400000.0000001,1,1,0,1,1,0.4714651649542285,1,0,0,1.3673589248941762,1,1,0,1,1,1,60.00000000000001,100,160.0,True
29500000.0,27450000.0,32220000.0,Honda,Lead,2020.0,180000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,5.0,Honda,Lead,Honda_Lead,17.19990085520835,16.775024719703897,120k+ km,2-5 năm,20 - 30tr,30007931.44045823,-507931.4404582307,552406.851125834,5154979.355382148,-0.20569205393169993,0,6830000.0,37940000.0,0,0,0,1,1,0.47856263446690794,1,0,0,1.0255184832474709,0,0,0,0,0,0,0.0,100,100.0,True
8600000.0,9830000.0,11540000.0,Honda,Wave,2017.0,25,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,8.0,Honda,Wave,Honda_Wave,15.967272877502799,16.775024719703897,0-5k km,5-8 năm,0 - 10tr,10033603.099524671,-1433603.0995246712,417761.5356076211,6638665.377960899,-0.278876028497907,0,3800000.0,19800000.00000001,1,0,1,0,1,0.38321763817956345,0,0,0,1.0612892056299021,0,0,0,1,0,0,20.0,100,120.0,True
9500000.0,6930000.0,8140000.000000001,Honda,Wave,2006.0,666666,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,19.0,Honda,Wave,Honda_Wave,16.066802461833923,16.775024719703897,120k+ km,12-20 năm,0 - 10tr,8659071.809299286,840928.1907007135,417761.5356076211,6638665.377960899,0.06374273005202595,0,3800000.0,19800000.00000001,1,0,0,1,1,0.6078253940888392,1,2,1,1.0241416931615703,0,1,0,1,0,1,40.0,100,140.0,True
17000000.0,12850000.0,15090000.0,Honda,Wave,2025.0,30,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,0.0,Honda,Wave,Honda_Wave,16.648723960844016,16.775024719703897,0-5k km,0-2 năm,10 - 20tr,13924385.827689704,3075614.1723102964,417761.5356076211,6638665.377960899,0.4003594827246811,0,3800000.0,19800000.00000001,1,0,0,1,1,0.4535206405581242,1,0,0,1.2634431183536363,1,1,0,1,0,1,40.0,100,140.0,True
2600000.0,10020000.0,11760000.0,Honda,Air Blade,2011.0,23,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,14.0,Honda,Air Blade,Honda_Air Blade,14.77102238760702,16.775024719703897,0-5k km,12-20 năm,0 - 10tr,9559322.424689747,-6959322.424689747,341777.70782419294,138815284.66934898,-0.05259579411521428,0,8000000.0,38955555.2,1,1,1,0,1,0.3665539628235976,0,1,0,1.1607637584176946,0,0,0,1,1,0,40.0,100,140.0,True
33000000.0,28790000.0,33800000.0,Yamaha,Exciter,2022.0,280000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,3.0,Yamaha,Exciter,Yamaha_Exciter,17.312018149733785,16.31551390264487,120k+ km,2-5 năm,30 - 40tr,30772549.571190573,2227450.4288094267,1619947.8377087098,23056073.20497084,0.02634891838258653,0,11500000.0,42000000.0,0,0,0,1,1,0.5375640299301866,1,0,1,1.078937083077342,0,1,0,0,0,1,20.0,100,120.0,True
17000000.0,16160000.0,18970000.0,Yamaha,Exciter,2015.0,65,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,10.0,Yamaha,Exciter,Yamaha_Exciter,16.648723960844016,16.31551390264487,0-5k km,8-12 năm,10 - 20tr,15783434.772587815,1216565.2274121847,1619947.8377087098,23056073.20497084,-0.01749572039915091,0,11500000.0,42000000.0,0,0,1,0,1,0.3625482931046979,0,0,0,1.020410282821591,0,0,0,0,0,0,0.0,100,100.0,True
25000000.0,21390000.0,25110000.0,Hãng khác,Dòng khác,1980.0,100,Đã sử dụng,Tay ga,Unknown,Nước khác,45.0,Hãng khác,Dòng khác,Hãng khác_Dòng khác,17.034386422832473,15.777837157224829,0-5k km,20+ năm,20 - 30tr,27323000.467659343,-2323000.467659343,255952.41697300877,38281573.47452051,-0.06736799589360802,0,2800000.0,81050000.00000004,0,0,1,0,1,0.6111071624126213,1,1,1,0.9661802799090463,0,1,0,0,0,1,20.0,100,120.0,True
30000000.0,21390000.0,25110000.0,Hãng khác,Dòng khác,1980.0,50,Đã sử dụng,Tay ga,Dưới 50 cc,Nước khác,45.0,Hãng khác,Dòng khác,Hãng khác_Dòng khác,17.216707972959764,15.777837157224829,0-5k km,20+ năm,20 - 30tr,27943785.386560705,2056214.6134392954,255952.41697300877,38281573.47452051,0.04702686000261998,0,2800000.0,81050000.00000004,1,0,1,0,1,0.6102068657713895,1,1,1,0.99509412471563,0,1,0,1,0,1,40.0,100,140.0,True
7900000.0,7650000.0,8980000.0,Honda,Wave,2013.0,500000,Đã sử dụng,Xe số,100 - 175 cc,Nước khác,12.0,Honda,Wave,Honda_Wave,15.882373444019521,16.775024719703897,120k+ km,8-12 năm,0 - 10tr,7725396.008826568,174603.9911734322,417761.5356076211,6638665.377960899,-0.036627474136808495,0,3800000.0,19800000.00000001,0,0,0,1,1,0.5335342460488306,1,2,1,0.9705122054218329,0,1,0,0,0,1,20.0,100,120.0,True
9000000.0,6140000.0,7210000.0,Yamaha,Nouvo,2013.0,267890,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,12.0,Yamaha,Nouvo,Yamaha_Nouvo,16.012735246411598,16.31551390264487,120k+ km,8-12 năm,0 - 10tr,6563348.692638195,2436651.307361805,105354.04301784467,1736909.67623086,1.3422098432907208,0,2500000.0,8000000.0,1,1,0,1,1,0.5785417076224018,1,1,0,1.6251760557150352,1,1,0,1,1,1,60.00000000000001,100,160.0,True
11000000.0,7980000.0,9370000.0,Honda,Lead,2012.0,49,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,13.0,Honda,Lead,Honda_Lead,16.213405921671733,16.775024719703897,0-5k km,12-20 năm,10 - 20tr,9519213.878655195,1480786.1213448048,552406.851125834,5154979.355382148,0.18009369314926152,0,6830000.0,37940000.0,1,0,1,0,1,0.3734231839163103,0,1,0,1.1341965785298112,0,0,0,1,0,0,20.0,100,120.0,True
33300000.0,27640000.0,32439999.999999996,Honda,Winner X,2024.0,6000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,1.0,Honda,Winner X,Honda_Winner X,17.3210679849807,16.775024719703897,5k-15k km,0-2 năm,30 - 40tr,25234488.080555953,8065511.919444047,1010493.5601020306,3732315.616610863,1.8902523484196492,0,16500000.0,30500000.0,1,1,0,0,0,0.5150918040295449,1,0,1,1.067518417179382,0,1,0,1,1,1,60.00000000000001,0,60.00000000000001,True
6000000.0,16530000.000000002,19410000.0,Honda,Lead,2016.0,100,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,9.0,Honda,Lead,Honda_Lead,15.607270193858982,16.775024719703897,0-5k km,8-12 năm,0 - 10tr,13976408.793652976,-7976408.793652976,552406.851125834,5154979.355382148,-1.6544810477027705,0,6830000.0,37940000.0,1,1,1,0,1,0.49790641812304975,1,0,1,1.1661910046996122,0,1,0,1,1,1,60.00000000000001,100,160.0,True
7000000.0,6080000.0,7140000.0,Yamaha,Mio,2016.0,1,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,9.0,Yamaha,Mio,Yamaha_Mio,15.76142084987672,16.31551390264487,0-5k km,8-12 năm,0 - 10tr,5862730.3747812295,1137269.6252187705,-502723.3752704924,3608130.7539187325,0.45452704248816167,0,3900000.0,15889999.999999996,0,0,1,0,1,0.39050759682370895,0,0,0,1.0585540807714708,0,0,0,0,0,0,0.0,100,100.0,True
7500000.0,3400000.0,4000000.0,Honda,Win,2000.0,1000,Đã sử dụng,Tay côn/Moto,50 - 100 cc,Nước khác,25.0,Honda,Dòng khác,Honda_Dòng khác,15.830413711839864,16.775024719703897,0-5k km,20+ năm,0 - 10tr,9140988.879078396,-1640988.8790783957,987771.4520035498,28808614.253852256,-0.0912491072259899,0,6420000.000000002,67399999.99999997,1,0,1,0,1,0.45030069618581336,0,1,0,0.9896043774313306,0,0,0,1,0,0,20.0,100,120.0,True
11600000.0,7980000.0,9370000.0,Honda,Lead,2012.0,39,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,13.0,Honda,Lead,Honda_Lead,16.266515742283485,16.775024719703897,0-5k km,12-20 năm,10 - 20tr,9561718.10863881,2038281.89136119,552406.851125834,5154979.355382148,0.28824073537443,0,6830000.0,37940000.0,1,0,1,0,1,0.38008367237119084,0,1,0,1.0502337352809534,0,0,0,1,0,0,20.0,100,120.0,True
20600000.0,16920000.0,19860000.0,Honda,Vision,2017.0,29,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,8.0,Honda,Vision,Honda_Vision,16.840801682303496,16.775024719703897,0-5k km,5-8 năm,20 - 30tr,18632446.21663352,1967553.783366479,281462.60619508754,7124824.6964279,0.23665019828722653,0,10000000.0,32500000.0,1,0,1,0,1,0.3717360763022913,0,0,0,1.091295227302064,0,0,0,1,0,0,20.0,100,120.0,True
86000000.0,69270000.0,81320000.0,Honda,SH,2021.0,601,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,4.0,Honda,SH,Honda_SH,18.26985786584569,16.775024719703897,0-5k km,2-5 năm,50 - 100tr,85962954.95699376,37045.04300624132,1025061.3341819346,5153335794.534774,-0.0001917236389337381,0,40200000.0,157400000.0000001,1,0,1,0,1,0.36756717116816473,0,0,0,1.2420726735244372,1,0,0,1,0,0,20.0,100,120.0,True
